site,dxf_label,id,full_label,description,type,phase,readiness,capex,bays,constraint,solar
spokane,MFG C,integration,Integration Hall,Assembly Inspection 320k sqft,assembly,1,90,$38M,4,,
spokane,MFG D,dt_ops,Digital Twin Command,AI ops Production monitoring,office,2,80,$5M,,,
spokane,LOGI,solar_array,Solar Farm Ph.1,5.2 MW 30-acre array,solar,1,94,$6.8M,,,true
spokane,PROD A,qa_lab,QA Inspection Lab,CMM NDT NADCAP 32k sqft,test,1,88,$6M,,,
spokane,ASSY A,test_calibr,Test and Calibration,Metrology 24k sqft,test,2,83,$4M,,,
spokane,ASSY B,outbound_hub,Outbound Freight Hub,Boeing Auburn shipments,dock,1,92,$2.8M,,,
spokane,PROD B,training_ctr,Training Center,Workforce dev 30k sqft,office,1,88,$6M,,,
spokane,STAGE,wind_turbines,Wind Turbines x3,3 x 600kW,yard,2,85,$4.2M,,Residential setback review,
yakima,ADMIN,corp_hq,Corporate HQ,Boeing Yakima offices 40k sqft,office,1,88,$8M,,,
yakima,MFG A,solar_mod_fab,Solar Module Fab,Agrivoltaic 180k sqft,assembly,2,74,$24M,3,Agricultural buffer 300ft,
yakima,SOLAR FAB,solar_array,Utility Solar Array,8.4 MW Primary generation,solar,1,92,$10.2M,,,true
yakima,R&D,eng_center,Engineering Center,R&D Clean energy 40k sqft,office,2,78,$8M,,,
yakima,CLEAN RM,battery_asm,Battery Assembly,BESS integration 100k sqft,assembly,2,68,$21M,2,BESS fire code setback,
yakima,MFG B,dt_ops,Digital Twin Command,Energy monitoring AI ops,office,2,76,$5M,,,
yakima,BESS ASSY,bess_storage,BESS Storage Array,12 MWh 4-hr dispatch,utility,2,74,$8.4M,,Fire code BESS separation,
yakima,LOGI HUB,us97_terminal,US-97 Freight Terminal,Truck access Scale,dock,1,91,$1.6M,,,
yakima,UTIL/SUB,solar_sub,Solar Substation,34.5kV PacifiCorp,utility,1,76,$5.2M,,Interconnect approval pending,
yakima,ASSEMBLY,integration,Integration Hall,Final QC and Dispatch 200k sqft,assembly,2,76,$22M,3,,
yakima,QC TEST,water_recycle,Water Recycling Plant,Closed-loop Zero discharge,utility,1,52,$3.6M,,Yakima Irrigation Dist. conflict,
yakima,DISPATCH,test_dispatch,Testing and Dispatch,Grid export QC,test,2,79,$4M,,,
yakima,STAGING,data_center,Data Center,2 MW BESS backed,utility,2,75,$3M,,,
